2018 11 16  18 00 00	0.792
2018 11 16  19 00 00	0.762
2018 11 16  20 00 00	0.793
2018 11 16  21 00 00	0.873
2018 11 16  22 00 00	0.973
2018 11 16  23 00 00	1.058
2018 11 17  00 00 00	1.094
2018 11 17  01 00 00	1.058
2018 11 17  02 00 00	0.947
2018 11 17  03 00 00	0.774
2018 11 17  04 00 00	0.576
2018 11 17  05 00 00	0.397
2018 11 17  06 00 00	0.28
2018 11 17  07 00 00	0.258
2018 11 17  08 00 00	0.343
2018 11 17  09 00 00	0.519
2018 11 17  10 00 00	0.752
2018 11 17  11 00 00	0.993
2018 11 17  12 00 00	1.189
2018 11 17  13 00 00	1.302
2018 11 17  14 00 00	1.311
2018 11 17  15 00 00	1.221
2018 11 17  16 00 00	1.062
2018 11 17  17 00 00	0.876
2018 11 17  18 00 00	0.713
2018 11 17  19 00 00	0.613
2018 11 17  20 00 00	0.599
2018 11 17  21 00 00	0.67
2018 11 17  22 00 00	0.802
2018 11 17  23 00 00	0.954
2018 11 18  00 00 00	1.078
2018 11 18  01 00 00	1.132
2018 11 18  02 00 00	1.092
2018 11 18  03 00 00	0.958
2018 11 18  04 00 00	0.758
2018 11 18  05 00 00	0.539
2018 11 18  06 00 00	0.357
2018 11 18  07 00 00	0.262
2018 11 18  08 00 00	0.285
2018 11 18  09 00 00	0.427
2018 11 18  10 00 00	0.662
2018 11 18  11 00 00	0.938
2018 11 18  12 00 00	1.192
2018 11 18  13 00 00	1.367
2018 11 18  14 00 00	1.424
2018 11 18  15 00 00	1.353
2018 11 18  16 00 00	1.174
2018 11 18  17 00 00	0.933
2018 11 18  18 00 00	0.691
2018 11 18  19 00 00	0.506
2018 11 18  20 00 00	0.422
2018 11 18  21 00 00	0.454
2018 11 18  22 00 00	0.588
2018 11 18  23 00 00	0.784
2018 11 19  00 00 00	0.984
2018 11 19  01 00 00	1.13
2018 11 19  02 00 00	1.179
2018 11 19  03 00 00	1.111
2018 11 19  04 00 00	0.94
2018 11 19  05 00 00	0.71
2018 11 19  06 00 00	0.481
2018 11 19  07 00 00	0.318
2018 11 19  08 00 00	0.27
2018 11 19  09 00 00	0.36
2018 11 19  10 00 00	0.574
2018 11 19  11 00 00	0.866
2018 11 19  12 00 00	1.168
2018 11 19  13 00 00	1.408
2018 11 19  14 00 00	1.528
2018 11 19  15 00 00	1.498
2018 11 19  16 00 00	1.324
2018 11 19  17 00 00	1.049
2018 11 19  18 00 00	0.737
2018 11 19  19 00 00	0.462
2018 11 19  20 00 00	0.287
2018 11 19  21 00 00	0.249
2018 11 19  22 00 00	0.351
2018 11 19  23 00 00	0.558
2018 11 20  00 00 00	0.813
2018 11 20  01 00 00	1.044
2018 11 20  02 00 00	1.19
2018 11 20  03 00 00	1.21
2018 11 20  04 00 00	1.099
2018 11 20  05 00 00	0.89
2018 11 20  06 00 00	0.64
2018 11 20  07 00 00	0.423
2018 11 20  08 00 00	0.305
2018 11 20  09 00 00	0.328
2018 11 20  10 00 00	0.498
2018 11 20  11 00 00	0.782
2018 11 20  12 00 00	1.114
2018 11 20  13 00 00	1.414
2018 11 20  14 00 00	1.606
2018 11 20  15 00 00	1.639
2018 11 20  16 00 00	1.5
2018 11 20  17 00 00	1.218
2018 11 20  18 00 00	0.857
2018 11 20  19 00 00	0.497
2018 11 20  20 00 00	0.221
2018 11 20  21 00 00	0.086
2018 11 20  22 00 00	0.118
2018 11 20  23 00 00	0.299
2018 11 21  00 00 00	0.574
