"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	4	29	10	0	0	-0.139	
2018	4	29	11	0	0	-0.13	
2018	4	29	12	0	0	0.066	
2018	4	29	13	0	0	0.391	
2018	4	29	14	0	0	0.757	
2018	4	29	15	0	0	1.07	
2018	4	29	16	0	0	1.251	
2018	4	29	17	0	0	1.261	
2018	4	29	18	0	0	1.104	
2018	4	29	19	0	0	0.834	
2018	4	29	20	0	0	0.53	
2018	4	29	21	0	0	0.284	
2018	4	29	22	0	0	0.169	
2018	4	29	23	0	0	0.226	
2018	4	30	0	0	0	0.449	
2018	4	30	1	0	0	0.788	
2018	4	30	2	0	0	1.16	
2018	4	30	3	0	0	1.472	
2018	4	30	4	0	0	1.643	
2018	4	30	5	0	0	1.625	
2018	4	30	6	0	0	1.414	
2018	4	30	7	0	0	1.052	
2018	4	30	8	0	0	0.619	
2018	4	30	9	0	0	0.213	
2018	4	30	10	0	0	-0.078	
2018	4	30	11	0	0	-0.193	
2018	4	30	12	0	0	-0.113	
2018	4	30	13	0	0	0.129	
2018	4	30	14	0	0	0.467	
2018	4	30	15	0	0	0.81	
2018	4	30	16	0	0	1.073	
2018	4	30	17	0	0	1.194	
2018	4	30	18	0	0	1.154	
2018	4	30	19	0	0	0.976	
2018	4	30	20	0	0	0.723	
2018	4	30	21	0	0	0.475	
2018	4	30	22	0	0	0.312	
2018	4	30	23	0	0	0.289	
2018	5	1	0	0	0	0.424	
2018	5	1	1	0	0	0.691	
2018	5	1	2	0	0	1.028	
2018	5	1	3	0	0	1.351	
2018	5	1	4	0	0	1.578	
2018	5	1	5	0	0	1.646	
2018	5	1	6	0	0	1.529	
2018	5	1	7	0	0	1.246	
2018	5	1	8	0	0	0.853	
2018	5	1	9	0	0	0.434	
2018	5	1	10	0	0	0.08	
2018	5	1	11	0	0	-0.137	
2018	5	1	12	0	0	-0.177	
2018	5	1	13	0	0	-0.043	
2018	5	1	14	0	0	0.221	
2018	5	1	15	0	0	0.543	
2018	5	1	16	0	0	0.839	
