"Plot Title: sargento-canal"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
346,09/12/2018 01:35:45,116.964,26.390,0.598
347,09/12/2018 01:50:46,118.768,26.390,0.777
348,09/12/2018 02:05:47,119.808,26.390,0.880
349,09/12/2018 02:20:48,120.666,26.390,0.966
350,09/12/2018 02:35:49,121.733,26.390,1.072
351,09/12/2018 02:50:50,122.957,26.390,1.194
352,09/12/2018 03:05:51,124.143,26.390,1.312
353,09/12/2018 03:20:52,125.108,26.390,1.408
354,09/12/2018 03:35:53,125.682,26.390,1.465
355,09/12/2018 03:50:54,125.891,26.390,1.486
356,09/12/2018 04:05:55,125.747,26.390,1.471
357,09/12/2018 04:20:56,125.278,26.390,1.425
358,09/12/2018 04:35:57,124.639,26.390,1.361
359,09/12/2018 04:50:58,123.922,26.390,1.290
360,09/12/2018 05:05:59,123.196,26.488,1.218
361,09/12/2018 05:21:00,122.453,26.488,1.144
362,09/12/2018 05:36:01,121.750,26.488,1.074
363,09/12/2018 05:51:02,121.060,26.488,1.005
364,09/12/2018 06:06:03,120.371,26.488,0.936
365,09/12/2018 06:21:04,119.695,26.488,0.869
366,09/12/2018 06:36:05,118.980,26.488,0.798
367,09/12/2018 06:51:06,118.226,26.488,0.723
368,09/12/2018 07:06:07,117.421,26.488,0.643
369,09/12/2018 07:21:08,116.656,26.488,0.567
370,09/12/2018 07:36:09,115.968,26.488,0.498
371,09/12/2018 07:51:10,115.359,26.488,0.438
372,09/12/2018 08:06:11,114.905,26.488,0.393
373,09/12/2018 08:21:12,114.555,26.488,0.358
374,09/12/2018 08:36:13,114.296,26.488,0.332
375,09/12/2018 08:51:14,114.076,26.488,0.310
376,09/12/2018 09:06:15,113.908,26.488,0.294
377,09/12/2018 09:21:16,113.817,26.488,0.284
378,09/12/2018 09:36:17,113.713,26.488,0.274
379,09/12/2018 09:51:18,113.649,26.488,0.268
380,09/12/2018 10:06:19,113.584,26.488,0.261
381,09/12/2018 10:21:20,113.532,26.488,0.256
382,09/12/2018 10:36:21,113.493,26.488,0.252
383,09/12/2018 10:51:22,113.428,26.488,0.246
384,09/12/2018 11:06:23,113.390,26.488,0.242
385,09/12/2018 11:21:24,113.351,26.488,0.238
386,09/12/2018 11:36:25,113.312,26.488,0.234
387,09/12/2018 11:51:26,113.283,26.390,0.231
388,09/12/2018 12:06:27,113.273,26.488,0.230
389,09/12/2018 12:21:28,113.234,26.488,0.226
390,09/12/2018 12:36:29,113.192,26.390,0.222
391,09/12/2018 12:51:30,113.166,26.390,0.220
392,09/12/2018 13:06:31,113.140,26.390,0.217
393,09/12/2018 13:21:32,113.244,26.390,0.227
394,09/12/2018 13:36:33,115.524,26.390,0.454
395,09/12/2018 13:51:34,117.872,26.390,0.688
396,09/12/2018 14:06:35,119.132,26.390,0.813
397,09/12/2018 14:21:36,119.977,26.390,0.897
398,09/12/2018 14:36:37,120.796,26.390,0.979
399,09/12/2018 14:51:38,121.824,26.390,1.081
400,09/12/2018 15:06:39,122.892,26.390,1.187
401,09/12/2018 15:21:40,123.869,26.390,1.284
402,09/12/2018 15:36:41,124.613,26.390,1.359
403,09/12/2018 15:51:42,125.030,26.390,1.400
404,09/12/2018 16:06:43,125.134,26.390,1.410
405,09/12/2018 16:21:44,124.965,26.390,1.394
406,09/12/2018 16:36:45,124.525,26.488,1.350
407,09/12/2018 16:51:46,123.899,26.488,1.287
408,09/12/2018 17:06:47,123.196,26.488,1.218
409,09/12/2018 17:21:48,122.479,26.488,1.146
410,09/12/2018 17:36:49,121.776,26.488,1.076
411,09/12/2018 17:51:50,121.086,26.488,1.008
