"Plot Title: sargento-old"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
151,09/10/2018 01:15:00,112.949,27.961,0.591
152,09/10/2018 01:30:00,114.139,27.961,0.709
153,09/10/2018 01:45:00,115.137,27.961,0.808
154,09/10/2018 02:00:00,115.813,27.961,0.876
155,09/10/2018 02:15:00,116.119,27.961,0.906
156,09/10/2018 02:30:00,116.007,27.961,0.895
157,09/10/2018 02:45:00,115.523,27.961,0.847
158,09/10/2018 03:00:00,114.783,27.961,0.773
159,09/10/2018 03:15:00,114.026,27.961,0.698
160,09/10/2018 03:30:00,113.190,27.961,0.615
161,09/10/2018 03:45:00,112.306,27.961,0.527
162,09/10/2018 04:00:00,111.454,27.961,0.442
163,09/10/2018 04:15:00,110.652,27.961,0.362
164,09/10/2018 04:30:00,109.901,28.060,0.287
165,09/10/2018 04:45:00,109.244,28.060,0.222
166,09/10/2018 05:00:00,108.394,28.060,0.138
167,09/10/2018 05:15:00,107.432,28.060,0.042
168,09/10/2018 05:30:00,106.740,27.961,-0.027
169,09/10/2018 05:45:00,106.580,27.961,-0.043
170,09/10/2018 06:00:00,106.580,27.961,-0.043
171,09/10/2018 06:15:00,106.580,27.961,-0.043
172,09/10/2018 06:30:00,106.580,27.961,-0.043
173,09/10/2018 06:45:00,106.564,27.961,-0.044
174,09/10/2018 07:00:00,106.580,27.961,-0.043
175,09/10/2018 07:15:00,106.580,27.961,-0.043
176,09/10/2018 07:30:00,106.596,27.961,-0.041
177,09/10/2018 07:45:00,106.612,27.961,-0.040
178,09/10/2018 08:00:00,106.580,27.961,-0.043
179,09/10/2018 08:15:00,106.580,27.961,-0.043
180,09/10/2018 08:30:00,106.612,27.961,-0.040
181,09/10/2018 08:45:00,106.612,27.961,-0.040
182,09/10/2018 09:00:00,106.596,27.961,-0.041
183,09/10/2018 09:15:00,106.596,27.961,-0.041
184,09/10/2018 09:30:00,106.628,27.961,-0.038
185,09/10/2018 09:45:00,106.612,27.961,-0.040
186,09/10/2018 10:00:00,106.596,27.961,-0.041
187,09/10/2018 10:15:00,106.596,27.961,-0.041
188,09/10/2018 10:30:00,106.580,27.961,-0.043
189,09/10/2018 10:45:00,106.564,27.961,-0.044
190,09/10/2018 11:00:00,106.548,27.961,-0.046
191,09/10/2018 11:15:00,106.548,27.961,-0.046
192,09/10/2018 11:30:00,106.500,27.961,-0.051
193,09/10/2018 11:45:00,106.484,27.961,-0.052
194,09/10/2018 12:00:00,106.468,27.961,-0.054
195,09/10/2018 12:15:00,106.468,27.961,-0.054
196,09/10/2018 12:30:00,107.941,27.961,0.093
